,feature,importance
0,country_code,0.3155727277260368
9,pl_for_period_net_income_0,0.25884551105118003
25,return_on_sales_0,0.05481899963190536
17,tangible_net_worth_2,0.05261224213520867
43,solvency_1,0.04810215813254519
18,turnover_growth_0,0.044692697166107465
42,solvency_0,0.04219364593115582
15,total_debt_0,0.02717357287563648
28,return_on_capital_employed_0,0.01323571425930938
22,operating_margin_0,0.010277047622349843
35,debtor_days_0,0.009097136118236145
4,intangible_fixed_assets_2,0.009011799542120627
26,return_on_sales_1,0.007578293426425207
10,interest_paid_0,0.00737653414078478
45,debt_ebitda_ratio_0,0.0068652369966351635
5,stock_2,0.006467836267459787
13,ebitda_0,0.005800670408465211
48,interest_coverage_ratio_0,0.005353149189254633
37,creditor_days_0,0.004552457498335217
30,quick_ratio_0,0.004543820400840163
39,gearing_0,0.004216906985657224
29,return_on_capital_employed_1,0.0036869196911114297
41,gearing_2,0.00351460811527319
7,creditors_2,0.0033882762362938794
44,solvency_2,0.00326713506097149
36,debtor_days_1,0.0032267415978149997
33,stock_days_0,0.003205585531057065
6,loans_0,0.003001011474437881
8,costs_of_goods_sold_2,0.0022679549205204515
40,gearing_1,0.0022626646952782644
38,creditor_days_1,0.0020942593281968393
1,industry_code,0.0020553338766484057
49,interest_coverage_ratio_1,0.0020278466753293123
46,debt_ebitda_ratio_1,0.001960725422408821
27,return_on_sales_2,0.0019139293937359483
19,gross_margin_0,0.0018822328043338514
16,total_debt_2,0.0018514824727484248
14,ebitda_2,0.0018369106864107535
20,gross_margin_1,0.0018336758946705708
24,operating_margin_2,0.001797767117564322
12,interest_paid_2,0.0017327080304356676
31,quick_ratio_1,0.0016837966172145152
23,operating_margin_1,0.0016299489001391147
32,quick_ratio_2,0.0015982287039368122
50,interest_coverage_ratio_2,0.0015941276274741417
11,interest_paid_1,0.0014834037443623694
47,debt_ebitda_ratio_2,0.0012289126633889937
34,stock_days_1,0.0012154710708074908
21,gross_margin_2,0.0011923546813867327
3,status_year,0.0008733093227585797
2,size_class,0.00030452013764055663
